name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
mapreduce.shuffle.pathcache.expire-after-access-minutes,"(374, 369, 357)","(260004, 257454, 258459)","(389, 388, 389)"
mapreduce.shuffle.pathcache.concurrency-level,"(377, 378, 383)","(259052, 258938, 258764)","(385, 390, 386)"
mapreduce.shuffle.max.connections,"(366, 374, 384)","(267605, 252832, 255058)","(371, 377, 394)"
mapreduce.shuffle.listen.queue.size,"(383, 391, 383)","(254559, 261090, 262009)","(372, 394, 389)"
mapreduce.reduce.shuffle.merge.percent,"(373, 374, 373)","(257452, 258652, 259424)","(385, 391, 389)"
mapreduce.reduce.shuffle.memory.limit.percent,"(376, 376, 377)","(257238, 259442, 257535)","(390, 387, 387)"
mapreduce.reduce.shuffle.input.buffer.percent,"(380, 379, 390)","(261376, 257673, 258599)","(399, 395, 389)"
yarn.app.mapreduce.am.job.task.listener.thread-count,"(360, 388, 363)","(250268, 261763, 265645)","(394, 393, 393)"
yarn.app.mapreduce.am.job.committer.commit-window,"(358, 355, 391)","(271090, 269523, 250126)","(354, 419, 372)"
yarn.app.mapreduce.am.job.committer.cancel-timeout,"(376, 374, 373)","(257082, 259278, 258470)","(390, 389, 387)"
yarn.app.mapreduce.am.containerlauncher.threadpool-initial-size,"(358, 356, 357)","(253844, 259461, 256778)","(400, 385, 379)"
mapreduce.reduce.shuffle.fetch.retry.interval-ms,"(374, 367, 374)","(256017, 260926, 258019)","(391, 387, 391)"
mapreduce.reduce.shuffle.fetch.retry.enabled,"(372, 385, 357)","(258628, 258532, 258564)","(392, 386, 388)"
mapreduce.task.timeout,"(385, 378, 373)","(308673, 258768, 302238)","(392, 385, 390)"
mapreduce.task.stuck.timeout-ms,"(390, 359, 390)","(235733, 263515, 245004)","(394, 391, 387)"
mapreduce.client.output.filter,"(376, 371, 379)","(258058, 258863, 258102)","(386, 387, 390)"
mapreduce.job.end-notification.retry.interval,"(373, 382, 371)","(257791, 258459, 258815)","(381, 394, 383)"
mapreduce.input.fileinputformat.list-status.num-threads,"(371, 377, 372)","(260593, 260070, 257772)","(387, 389, 389)"
mapreduce.client.completion.pollinterval,"(391, 355, 377)","(255207, 260243, 261688)","(384, 388, 386)"
yarn.app.mapreduce.client.job.retry-interval,"(369, 381, 369)","(268367, 264813, 260134)","(376, 393, 392)"
yarn.app.mapreduce.client.job.max-retries,"(379, 368, 386)","(267307, 264776, 262601)","(399, 387, 394)"
mapreduce.shuffle.max.threads,"(392, 384, 358)","(253270, 253905, 262481)","(379, 388, 393)"
yarn.app.mapreduce.task.container.log.backups,"(391, 355, 385)","(247369, 257788, 259467)","(369, 390, 407)"
yarn.app.mapreduce.shuffle.log.separate,"(363, 369)","(271377, 267853)","(400, 391)"
yarn.app.mapreduce.shuffle.log.limit.kb,"(372, 355, 388)","(255367, 257168, 255987)","(398, 388, 381)"
yarn.app.mapreduce.shuffle.log.backups,"(389, 390, 386)","(263929, 263778, 255153)","(373, 399, 390)"
yarn.app.mapreduce.am.webapp.https.enabled,"(367, 389)","(264023, 262153)","(400, 376)"
yarn.app.mapreduce.am.log.level,"(363, 361, 383)","(259892, 258274, 258996)","(393, 392, 391)"
yarn.app.mapreduce.am.env,"(358, 377, 370)","(255420, 255593, 260500)","(386, 389, 387)"
yarn.app.mapreduce.am.container.log.limit.kb,"(376, 377, 374)","(248323, 253843, 259096)","(379, 392, 383)"
yarn.app.mapreduce.am.container.log.backups,"(390, 376, 356)","(255266, 261215, 257645)","(400, 393, 388)"
yarn.app.mapreduce.am.command-opts,"(385, 391, 368)","(250397, 259267, 254061)","(398, 395, 381)"
yarn.app.mapreduce.am.admin-command-opts,"(374, 373, 383)","(266709, 256207, 255978)","(384, 390, 390)"
yarn.app.mapreduce.am.admin.user.env,"(359, 388, 383)","(263572, 257005, 255615)","(370, 386, 388)"
mapreduce.task.userlog.limit.kb,"(372, 379, 361)","(266700, 258582, 261036)","(375, 387, 400)"
mapreduce.task.profile.reduces,"(375, 380, 371)","(256875, 257976, 257121)","(385, 389, 388)"
mapreduce.task.profile.maps,"(372, 359, 384)","(249370, 251605, 265650)","(407, 380, 387)"
mapreduce.task.profile,"(362, 388)","(260441, 257678)","(405, 396)"
mapreduce.task.merge.progress.records,"(366, 361, 357)","(269054, 267693, 260661)","(338, 366, 413)"
mapreduce.task.files.preserve.failedtasks,"(363, 384)","(252372, 253371)","(378, 381)"
mapreduce.reduce.skip.maxgroups,"(355, 360, 383)","(245749, 246232, 269087)","(383, 392, 386)"
mapreduce.reduce.log.level,"(365, 368, 372)","(247033, 253181, 260000)","(379, 397, 386)"
mapreduce.reduce.cpu.vcores,"(358, 358, 368)","(264825, 258102, 255675)","(379, 394, 388)"
mapreduce.outputcommitter.factory.scheme.s3a,"(364, 368, 390)","(256067, 257338, 259925)","(407, 406, 394)"
mapreduce.outputcommitter.factory.class,"(377, 387, 375)","(269745, 250737, 263065)","(390, 390, 389)"
mapreduce.output.fileoutputformat.compress.type,"(371, 390, 373)","(264245, 261041, 258159)","(400, 384, 399)"
mapreduce.output.fileoutputformat.compress.codec,"(377, 366, 375)","(265148, 261127, 255274)","(381, 383, 388)"
mapreduce.output.fileoutputformat.compress,"(370, 381)","(251743, 260169)","(394, 384)"
mapreduce.map.skip.proc-count.auto-incr,"(373, 363)","(259024, 258345)","(360, 383)"
mapreduce.map.skip.maxrecords,"(359, 370, 391)","(251223, 262244, 254204)","(381, 395, 394)"
mapreduce.map.log.level,"(362, 382, 372)","(254228, 255326, 255689)","(402, 379, 387)"
mapreduce.map.cpu.vcores,"(372, 370, 366)","(266255, 265264, 260237)","(374, 394, 380)"
mapreduce.jvm.system-properties-to-log,"(364, 358, 386)","(259340, 258743, 258385)","(379, 388, 393)"
mapreduce.jobhistory.webapp.xfs-filter.xframe-options,"(361, 361, 391)","(261203, 256706, 256390)","(403, 391, 384)"
mapreduce.jobhistory.webapp.rest-csrf.methods-to-ignore,"(356, 358, 382)","(266002, 265625, 261553)","(401, 384, 390)"
mapreduce.jobhistory.webapp.rest-csrf.enabled,"(370, 389)","(272696, 271119)","(405, 388)"
mapreduce.jobhistory.webapp.rest-csrf.custom-header,"(382, 359, 360)","(250668, 252079, 258513)","(395, 390, 386)"
mapreduce.jobhistory.store.class,"(375, 378, 378)","(268087, 266626, 263152)","(400, 386, 391)"
mapreduce.jobhistory.principal,"(377, 388, 366)","(255541, 257358, 261220)","(377, 391, 392)"
mapreduce.jobhistory.keytab,"(376, 390, 382)","(268084, 253223, 249639)","(407, 391, 384)"
mapreduce.jobhistory.jobname.limit,"(384, 371, 359)","(264804, 256284, 253210)","(382, 390, 390)"
mapreduce.jobhistory.jhist.format,"(369, 375, 362)","(262401, 259896, 262399)","(393, 384, 386)"
mapreduce.jobhistory.intermediate-user-done-dir.permissions,"(384, 360, 380)","(266715, 259330, 257568)","(391, 387, 385)"
mapreduce.jobhistory.intermediate-done-dir,"(378, 378, 384)","(264714, 252969, 252946)","(387, 387, 389)"
mapreduce.jobhistory.cleaner.interval-ms,"(376, 371, 378)","(257904, 258934, 258243)","(385, 385, 390)"
mapreduce.jobhistory.always-scan-user-dir,"(355, 373)","(266626, 251666)","(407, 401)"
mapreduce.jobhistory.admin.address,"(371, 384, 366)","(264310, 257422, 262737)","(401, 389, 384)"
mapreduce.jobhistory.admin.acl,"(374, 376, 387)","(252037, 264353, 255997)","(374, 379, 386)"
mapreduce.job.speculative.speculative-cap-running-tasks,"(385, 371, 362)","(267322, 265238, 259315)","(406, 396, 375)"
mapreduce.job.speculative.slowtaskthreshold,"(379, 377, 371)","(260089, 258535, 257317)","(378, 382, 397)"
mapreduce.job.speculative.minimum-allowed-tasks,"(373, 358, 383)","(257175, 257899, 257223)","(386, 387, 388)"
mapreduce.job.skip.outdir,"(357, 373, 374)","(254202, 259715, 256931)","(383, 390, 390)"
mapreduce.job.reduce.shuffle.consumer.plugin.class,"(384, 390, 356)","(253985, 256529, 254517)","(377, 389, 387)"
mapreduce.job.map.output.collector.class,"(355, 359, 390)","(261300, 256506, 258929)","(394, 385, 387)"
mapreduce.job.local-fs.single-disk-limit.check.kill-limit-exceed,"(361, 360)","(246561, 263654)","(387, 388)"
mapreduce.job.end-notification.custom-notifier-class,"(379, 358, 378)","(263287, 260110, 257238)","(385, 387, 389)"
