name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
yarn.nodemanager.amrmproxy.address,299.8243978,11015.48335,280.1260667
yarn.timeline-service.http-cross-origin.enabled,284.8447271,10846.63839,306.4234407
yarn.router.bind-host,284.2643693,10987.57593,278.4767656
yarn.router.webapp.https.address,292.1899591,10952.88169,301.4055563
yarn.web-proxy.keytab,280.4382623,10101.09422,300.6861768
yarn.resourcemanager.application-https.policy,292.4073494,10950.79057,282.9089743
yarn.resourcemanager.recovery.enabled,282.9513752,10625.956,300.6635944
yarn.nodemanager.runtime.linux.docker.allowed-container-networks,295.1856582,10943.51256,294.5613291
yarn.nodemanager.amrmproxy.client.thread-count,279.2295535,10176.78765,282.2726694
yarn.nodemanager.runtime.linux.docker.stop.grace-period,299.6469176,10321.25068,280.8715393
yarn.dispatcher.drain-events.timeout,288.001306,295771.4956,289.2133883
yarn.am.liveness-monitor.expiry-interval-ms,276.2159014,10651.4649,293.800341
yarn.resourcemanager.placement-constraints.algorithm.pool-size,301.055079,10569.50654,279.9468722
yarn.resourcemanager.placement-constraints.scheduler.pool-size,288.1008534,10834.30031,296.8599096
yarn.resourcemanager.fs.state-store.retry-interval-ms,280.3384855,10540.92302,289.37908
yarn.resourcemanager.delegation-token.always-cancel,302.9207936,10598.09901,293.080295
yarn.resourcemanager.proxy-user-privileges.enabled,290.6020802,10044.40116,278.3586046
yarn.resourcemanager.delegation-token-renewer.thread-count,281.6884428,11043.70444,300.4200853
yarn.nodemanager.delete.thread-count,294.8822768,10475.03199,365.018631
yarn.nodemanager.localizer.fetch.thread-count,290.6331904,10012.78839,291.9047047
yarn.log-aggregation.retain-check-interval-seconds,282.8973459,10284.64163,306.7633937
yarn.nodemanager.resource-monitor.interval-ms,414,10994.36597,414
yarn.nodemanager.container-log-monitor.interval-ms,288.9009551,10706.68615,282.0083776
yarn.nodemanager.linux-container-executor.resources-handler.class,284.9750765,10921.9721,304.108371
yarn.timeline-service.ttl-enable,283.041841,10663.28842,298.9736382
yarn.timeline-service.entity-group-fs-store.scan-interval-seconds,280.8236702,10993.37831,283.3459397
yarn.timeline-service.entity-group-fs-store.cleaner-interval-seconds,282.3966162,10070.74464,283.281409
yarn.timeline-service.writer.flush-interval-seconds,298.1740598,10942.89702,281.2054265
yarn.router.interceptor.user.threadpool-size,297.3942788,10546.97837,283.9245887
yarn.resourcemanager.submission-preprocessor.file-refresh-interval-ms,281.5950629,11044.2569,298.0363021
yarn.nodemanager.container-monitor.interval-ms,283.4065991,10611.3287,303.8456517
yarn.nodemanager.linux-container-executor.cgroups.delete-delay-ms,302.6863667,10422.985,297.8361124
yarn.sharedcache.cleaner.initial-delay-mins,289.1121268,10575.23141,283.2991841
yarn.resourcemanager.submission-preprocessor.file-path,302.9126348,10804.26197,300.8753769
yarn.timeline-service.handler-thread-count,280.1726952,10966.60824,305.0999321
yarn.scheduler.configuration.leveldb-store.compaction-interval-secs,287.2597929,10635.34365,282.821146
yarn.ipc.rpc.class,297.3572099,10113.98169,289.8188677
yarn.resourcemanager.address,286.7339709,10462.41508,282.2154638
yarn.resourcemanager.auto-update.containers,282.5779242,10363.27732,296.9752585
yarn.resourcemanager.client.thread-count,282.3048786,10926.55967,288.2566566
yarn.resourcemanager.amlauncher.thread-count,284.4443893,10761.1254,278.7882835
yarn.resourcemanager.nodemanager-connect-retries,299.0226197,10351.92239,287.3546598
yarn.dispatcher.cpu-monitor.samples-per-min,290.1454833,10686.52908,297.110704
yarn.resourcemanager.principal,276.0673873,10320.64983,290.0376974
yarn.resourcemanager.scheduler.client.thread-count,296.3700496,10760.51296,290.6457239
yarn.resourcemanager.placement-constraints.handler,297.674384,11007.45644,282.6990301
yarn.resourcemanager.placement-constraints.retry-attempts,291.4897438,10800.05289,279.8268982
yarn.resourcemanager.placement-constraints.algorithm.class,285.805079,10475.77043,304.6991182
yarn.resourcemanager.placement-constraints.algorithm.iterator,298.360277,10185.17607,283.2467601
