name,YCSB-100000-100000-workloadb,YCSB-1000-1000-workloada,YCSB-10000-10000-workloadc
hbase.hstore.checksum.algorithm,"(31673.73, 31016.91, 31016.89)","(1773.68, 1777.91, 1777.91)","(1881.67, 1868.47, 1868.46)"
hbase.client.scanner.max.result.size,"(30672.22, 31016.91, 31016.92)","(1861.21, 1777.90, 1777.93)","(1947.35, 1868.44, 1868.45)"
hbase.server.scanner.max.result.size,"(31922.72, 31016.92, 31016.92)","(1862.44, 1777.90, 1777.90)","(1840.75, 1868.48, 1868.46)"
hbase.status.published,"(31118.88, 31016.91)","(1794.33, 1777.90)","(1806.92, 1868.46)"
hbase.status.publisher.class,"(30302.11, 31016.93, 31016.90)","(1719.19, 1777.90, 1777.91)","(1815.06, 1868.45, 1868.47)"
hbase.status.listener.class,"(31188.76, 31016.91, 31016.91)","(1803.82, 1777.90, 1777.90)","(1957.92, 1868.49, 1868.49)"
hbase.status.multicast.address.ip,"(31142.28, 31016.91, 31016.91)","(1837.05, 1777.91, 1777.90)","(1925.41, 1868.44, 1868.44)"
hbase.status.multicast.address.port,"(32163.22, 31016.88, 31016.92)","(1737.34, 1777.89, 1777.88)","(1881.23, 1868.47, 1868.46)"
hbase.dynamic.jars.dir,"(30120.10, 31016.92, 31016.91)","(1793.84, 1777.90, 1777.90)","(1839.44, 1868.46, 1868.47)"
hbase.security.authentication,(0.00),"(1809.42, 1777.91, 1777.92, 1777.89, 1777.92, 1777.91)","(31938.68, 1868.85, 1878.44, 1881.18, 1860.94, 1862.82)"
hbase.rest.filter.classes,"(31535.75, 31016.93, 31016.92, 31016.92, 31016.92, 31016.92)","(1710.42, 1777.93, 1777.94, 1777.89, 1777.89, 1777.87)","(1944.27, 1868.49, 1868.47, 1868.49, 1868.43, 1868.43)"
hbase.master.loadbalancer.class,"(30876.71, 31016.91, 31016.91)","(1791.06, 1777.91, 1777.91)","(1852.73, 1868.46, 1868.46)"
hbase.master.loadbalance.bytable,"(29480.36, 31016.89)","(1813.33, 1777.92)","(1929.23, 1868.49)"
hbase.master.normalizer.class,"(30180.35, 31016.90, 31016.93)","(1770.50, 1777.91, 1777.90)","(1872.22, 1868.46, 1868.46)"
hbase.rest.csrf.enabled,"(32186.53, 31016.91)","(1711.77, 1777.87)","(1787.65, 1868.49)"
hbase.rest-csrf.browser-useragents-regex,"(31308.38, 31016.92, 31016.91)","(1813.36, 1777.90, 1777.92)","(1836.78, 1868.46, 1868.46)"
hbase.security.exec.permission.checks,"(29726.84, 31016.88)","(1731.49, 1777.91)","(1820.25, 1868.48)"
