name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
dfs.namenode.num.extra.edits.retained,"(355, 387, 362)","(255222, 258577, 258577)","(398, 388, 388)"
dfs.namenode.support.allow.format,"(386, 383)","(255495, 258577)","(382, 388)"
dfs.datanode.scan.period.hours,"(357, 386, 375)","(260955, 258577, 258577)","(400, 388, 388)"
dfs.block.scanner.volume.bytes.per.second,"(356, 380, 373)","(252222, 258577, 258577)","(388, 388, 388)"
dfs.encrypt.data.transfer.cipher.suites,"(382, 373, 370)","(268670, 258577, 258577)","(388, 388, 388)"
dfs.data.transfer.protection,"(359, 364, 368)","(317651, 258577, 258577)","(405, 388, 388)"
dfs.namenode.reject-unresolved-dn-topology-mapping,"(368, 355)","(262263, 258577)","(376, 388)"
dfs.namenode.xattrs.enabled,"(359, 381)","(249037, 258577)","(382, 388)"
dfs.namenode.fs-limits.max-xattrs-per-inode,"(377, 389, 384)","(252837, 258577, 258577)","(374, 388, 388)"
dfs.datanode.cache.revocation.polling.ms,"(385, 374, 389)","(262906, 258577, 258577)","(391, 388, 388)"
dfs.bytes-per-checksum,"(389, 387, 385)","(258008, 258577, 258577)","(377, 388, 388)"
dfs.datanode.data.dir,"(381, 387, 374)","(269650, 258577, 258577)","(398, 388, 388)"
dfs.namenode.fs-limits.max-blocks-per-file,"(373, 392, 356)","(270404, 258577, 258577)","(383, 388, 388)"
dfs.namenode.servicerpc-address,"(372, 373, 385)","(257574, 258577, 258577)","(390, 388, 388)"
dfs.namenode.lazypersist.file.scrub.interval.sec,"(360, 366, 372)","(261793, 258577, 258577)","(392, 388, 388)"
dfs.hosts.exclude,"(377, 379, 358)","(259310, 258577, 258577)","(386, 388, 388)"
dfs.datanode.sync.behind.writes,"(367, 383)","(265239, 258577)","(nan, 'nan')"
dfs.datanode.use.datanode.hostname,"(387, 369)","(260187, 258577)","(406, 388)"
dfs.datanode.shared.file.descriptor.paths,"(379, 389, 377)","(259208, 258577, 258577)","(390, 388, 388)"
dfs.namenode.avoid.read.stale.datanode,"(363, 367)","(248366, 258577)","(381, 388)"
dfs.namenode.avoid.write.stale.datanode,"(380, 388)","(260085, 258577)","(400, 388)"
hadoop.fuse.timer.period,"(387, 357, 364)","(254605, 258577, 258577)","(407, 388, 388)"
dfs.metrics.percentiles.intervals,"(381, 363, 358)","(317651, 258577, 258578)","(375, 388, 388)"
dfs.client.read.shortcircuit,"(367, 366)","(253868, 258577)","(372, 388)"
dfs.client.read.shortcircuit.skip.checksum,"(376, 381)","(259629, 258577)","(388, 388)"
dfs.client.read.shortcircuit.streams.cache.size,"(375, 391, 381)","(258934, 258577, 258577)","(387, 388, 388)"
dfs.client.read.shortcircuit.streams.cache.expiry.ms,"(383, 359, 368)","(264280, 258577, 258577)","(402, 388, 388)"
dfs.storage.policy.enabled,"(382, 374)","(266994, 258577)","(381, 388)"
dfs.datanode.slow.io.warning.threshold.ms,"(391, 367, 380)","(245834, 258577, 258577)","(397, 388, 388)"
dfs.namenode.edits.dir,"(375, 373, 386)","(247223, 258577, 258577)","(378, 388, 388)"
dfs.namenode.num.checkpoints.retained,"(389, 371, 386)","(250783, 258577, 258577)","(402, 388, 388)"
dfs.namenode.max.extra.edits.segments.retained,"(380, 382, 355)","(258619, 258577, 258577)","(375, 388, 388)"
dfs.block.local-path-access.user,"(364, 384, 367)","(251459, 258577, 258577)","(406, 388, 388)"
dfs.namenode.top.windows.minutes,"(386, 381, 370)","(265305, 258577, 258577)","(370, 388, 388)"
dfs.namenode.decommission.max.concurrent.tracked.nodes,"(381, 388, 370)","(268705, 258577, 258577)","(377, 388, 388)"
dfs.nameservices,"(361, 358, 383)","(265381, 258577, 258577)","(381, 388, 388)"
dfs.internal.nameservices,"(384, 382, 381)","(257507, 258577, 258577)","(395, 388, 388)"
dfs.ha.log-roll.period,"(377, 366, 372)","(261490, 258577, 258577)","(370, 388, 388)"
dfs.namenode.audit.loggers,"(382, 365, 358)","(255714, 258577, 258577)","(385, 388, 388)"
dfs.namenode.name.dir.restore,"(373, 376)","(257705, 258577)","(389, 388)"
dfs.replication.max,"(377, 365, 381)","(249427, 258577, 258577)","(384, 388, 388)"
dfs.user.home.dir.prefix,"(383, 371, 390)","(259637, 258577, 258577)","(394, 388, 388)"
dfs.namenode.legacy-oiv-image.dir,"(374, 369, 390)","(256417, 258577, 258577)","(390, 388, 388)"
dfs.replication,"(388, 386, 391)","(253825, 258577, 258577)","(395, 388, 388)"
dfs.namenode.rpc-address,"(361, 388, 364)","(267031, 258577, 258577)","(375, 388, 388)"
dfs.namenode.rpc-bind-host,"(369, 379, 382)","(247966, 258577, 258577)","(382, 388, 388)"
dfs.namenode.servicerpc-bind-host,"(366, 364, 388)","(262736, 258577, 258577)","(381, 388, 388)"
dfs.namenode.secondary.http-address,"(366, 356, 357)","(265500, 258577, 258577)","(399, 388, 388)"
dfs.namenode.secondary.https-address,"(361, 367, 374)","(251304, 258577, 258577)","(388, 388, 388)"
dfs.datanode.address,"(356, 372, 379)","(262953, 258577, 258577)","(381, 388, 388)"
